list-none-s,1,1000,1,3000,3368633,1122
list-none-m,2,1000,1,6000,24535949,4089
list-none-s,2,1000,1,6000,33046946,5507
list-none-m,4,1000,1,12000,92239587,7686
list-none-s,4,1000,1,12000,130564873,10880
list-none-m,8,1000,1,24000,435627168,18151
list-none-s,8,1000,1,24000,1213689754,50570
list-none-m,12,1000,1,36000,1150969311,31971
list-none-s,12,1000,1,36000,2742770367,76188
list-none-m,16,1000,1,48000,2135956750,44499
list-none-s,16,1000,1,48000,8719500479,181656
list-none-m,24,1000,1,72000,4842891274,67262
list-none-s,24,1000,1,72000,43252771771,600732
